%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = Time (ms)
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
160.0, -41857.51, -5729.62, -10350.76, -6572.66, -4868.59, -2642.69, -20804.13, -40081.35, 0.00, 0.00, 0.00
164.0, -42654.32, -5605.42, -10858.08, -7138.88, -4953.21, -2474.14, -20639.76, -40408.20, 0.00, 0.00, 0.00
168.0, -42710.70, -5573.41, -10947.79, -7093.64, -4886.63, -2580.75, -20765.66, -40535.38, 0.00, 0.00, 0.00
172.0, -41918.28, -5711.34, -10425.12, -6522.13, -4791.21, -2782.37, -20972.71, -40204.95, 0.00, 0.00, 0.00
176.0, -41784.84, -5763.71, -10269.11, -6517.90, -4849.01, -2695.15, -20872.28, -40045.56, 0.00, 0.00, 0.00
180.0, -42542.14, -5650.32, -10738.58, -7082.82, -4950.44, -2493.81, -20665.28, -40332.52, 0.00, 0.00, 0.00
184.0, -42815.14, -5558.74, -10978.08, -7210.31, -4905.74, -2526.35, -20715.82, -40564.21, 0.00, 0.00, 0.00
188.0, -42083.80, -5665.79, -10516.03, -6677.85, -4793.53, -2745.06, -20950.09, -40298.50, 0.00, 0.00, 0.00
192.0, -41752.27, -5745.72, -10235.02, -6531.76, -4815.24, -2721.68, -20912.60, -40061.63, 0.00, 0.00, 0.00
196.0, -42406.64, -5652.35, -10617.79, -7041.63, -4921.41, -2516.78, -20696.48, -40264.50, 0.00, 0.00, 0.00
200.0, -42850.17, -5538.94, -10959.93, -7291.23, -4910.48, -2501.76, -20701.60, -40547.96, 0.00, 0.00, 0.00
204.0, -42210.55, -5639.43, -10569.54, -6795.13, -4799.63, -2728.83, -20942.89, -40336.23, 0.00, 0.00, 0.00
208.0, -41720.25, -5747.62, -10199.79, -6520.65, -4809.54, -2752.97, -20952.95, -40054.01, 0.00, 0.00, 0.00
212.0, -42249.76, -5681.28, -10493.96, -6963.37, -4916.74, -2566.65, -20751.16, -40189.39, 0.00, 0.00, 0.00
216.0, -42820.38, -5563.08, -10904.50, -7307.25, -4937.77, -2515.71, -20711.21, -40496.64, 0.00, 0.00, 0.00
220.0, -42345.13, -5587.42, -10638.25, -6917.02, -4825.34, -2701.48, -20916.22, -40389.29, 0.00, 0.00, 0.00
224.0, -41719.38, -5703.14, -10192.55, -6532.99, -4801.24, -2782.64, -20989.16, -40075.25, 0.00, 0.00, 0.00
228.0, -42101.16, -5669.21, -10374.14, -6883.35, -4899.17, -2614.06, -20806.03, -40132.54, 0.00, 0.00, 0.00
232.0, -42804.04, -5550.14, -10856.15, -7343.08, -4954.76, -2521.70, -20723.26, -40475.23, 0.00, 0.00, 0.00
236.0, -42503.79, -5566.30, -10721.48, -7068.31, -4861.53, -2686.10, -20907.02, -40459.61, 0.00, 0.00, 0.00
240.0, -41774.49, -5687.94, -10228.14, -6600.16, -4800.98, -2802.84, -21021.68, -40132.46, 0.00, 0.00, 0.00
244.0, -41947.67, -5703.29, -10268.86, -6813.86, -4884.15, -2674.63, -20879.86, -40084.84, 0.00, 0.00, 0.00
248.0, -42697.57, -5586.91, -10771.77, -7330.37, -4963.58, -2527.96, -20735.31, -40416.96, 0.00, 0.00, 0.00
252.0, -42591.27, -5564.62, -10770.12, -7186.51, -4884.64, -2650.72, -20881.60, -40491.01, 0.00, 0.00, 0.00
256.0, -41814.05, -5675.20, -10259.36, -6660.17, -4805.51, -2804.56, -21039.00, -40166.69, 0.00, 0.00, 0.00
260.0, -41823.96, -5681.23, -10200.75, -6769.23, -4872.88, -2692.87, -20909.01, -40064.92, 0.00, 0.00, 0.00
264.0, -42601.84, -5547.10, -10699.58, -7331.46, -4964.55, -2520.14, -20736.27, -40381.82, 0.00, 0.00, 0.00
268.0, -42690.64, -5493.63, -10812.70, -7311.30, -4906.23, -2614.75, -20854.13, -40525.45, 0.00, 0.00, 0.00
272.0, -41915.60, -5618.92, -10307.69, -6754.90, -4805.51, -2805.28, -21053.60, -40217.13, 0.00, 0.00, 0.00
276.0, -41722.12, -5680.85, -10109.16, -6703.09, -4847.60, -2749.35, -20986.41, -40022.21, 0.00, 0.00, 0.00
280.0, -42456.69, -5562.54, -10559.23, -7251.75, -4949.15, -2548.41, -20775.79, -40288.26, 0.00, 0.00, 0.00
284.0, -42749.12, -5471.30, -10807.47, -7382.16, -4911.77, -2590.01, -20834.31, -40516.69, 0.00, 0.00, 0.00
288.0, -42038.45, -5558.79, -10365.40, -6855.93, -4804.48, -2791.71, -21046.18, -40271.45, 0.00, 0.00, 0.00
292.0, -41674.18, -5644.40, -10067.27, -6681.41, -4829.61, -2775.46, -21020.85, -40029.18, 0.00, 0.00, 0.00
296.0, -42324.17, -5540.17, -10450.07, -7197.62, -4936.09, -2553.87, -20788.06, -40241.10, 0.00, 0.00, 0.00
300.0, -42805.18, -5418.31, -10813.21, -7477.64, -4926.79, -2544.23, -20793.74, -40542.17, 0.00, 0.00, 0.00
304.0, -42205.79, -5492.40, -10452.26, -7009.91, -4813.49, -2765.98, -21033.79, -40359.96, 0.00, 0.00, 0.00
308.0, -41694.56, -5575.75, -10068.54, -6720.97, -4806.56, -2787.64, -21048.30, -40078.82, 0.00, 0.00, 0.00
312.0, -42187.57, -5520.19, -10331.02, -7141.56, -4908.80, -2605.50, -20856.90, -40192.57, 0.00, 0.00, 0.00
316.0, -42784.50, -5390.37, -10766.01, -7521.99, -4929.74, -2536.05, -20802.12, -40513.90, 0.00, 0.00, 0.00
320.0, -42312.25, -5441.29, -10509.77, -7134.48, -4818.19, -2733.08, -21018.62, -40404.04, 0.00, 0.00, 0.00
324.0, -41638.21, -5572.04, -10041.95, -6716.97, -4785.04, -2817.57, -21096.43, -40074.04, 0.00, 0.00, 0.00
328.0, -41956.82, -5545.76, -10188.86, -7029.56, -4877.04, -2653.53, -20916.63, -40097.55, 0.00, 0.00, 0.00
332.0, -42651.13, -5420.66, -10666.61, -7485.17, -4932.99, -2549.37, -20820.87, -40422.10, 0.00, 0.00, 0.00
336.0, -42382.13, -5431.83, -10555.88, -7227.21, -4837.63, -2711.80, -21002.91, -40418.23, 0.00, 0.00, 0.00
340.0, -41628.34, -5563.04, -10052.21, -6733.06, -4772.34, -2836.82, -21122.22, -40081.93, 0.00, 0.00, 0.00
344.0, -41782.72, -5565.16, -10089.20, -6943.06, -4849.21, -2692.65, -20963.21, -40041.59, 0.00, 0.00, 0.00
348.0, -42570.17, -5415.54, -10611.54, -7499.50, -4923.91, -2534.26, -20809.05, -40393.94, 0.00, 0.00, 0.00
352.0, -42503.38, -5386.86, -10625.37, -7373.64, -4846.08, -2669.51, -20964.35, -40473.84, 0.00, 0.00, 0.00
356.0, -41715.39, -5503.20, -10107.19, -6829.51, -4763.31, -2836.79, -21138.18, -40147.29, 0.00, 0.00, 0.00
360.0, -41679.50, -5516.99, -10021.72, -6906.40, -4827.15, -2725.95, -21009.66, -40029.89, 0.00, 0.00, 0.00
364.0, -42446.59, -5356.68, -10517.23, -7477.17, -4913.74, -2536.48, -20820.38, -40340.70, 0.00, 0.00, 0.00
368.0, -42562.88, -5292.85, -10653.31, -7479.12, -4854.37, -2628.52, -20936.12, -40488.82, 0.00, 0.00, 0.00
372.0, -41794.56, -5396.43, -10164.05, -6924.88, -4752.07, -2817.19, -21132.37, -40189.46, 0.00, 0.00, 0.00
376.0, -41565.77, -5467.71, -9949.41, -6851.57, -4796.59, -2773.74, -21071.37, -39984.72, 0.00, 0.00, 0.00
380.0, -42282.95, -5359.97, -10385.63, -7398.49, -4902.92, -2567.68, -20856.46, -40238.48, 0.00, 0.00, 0.00
384.0, -42609.91, -5270.18, -10654.05, -7557.21, -4879.10, -2604.40, -20910.95, -40477.02, 0.00, 0.00, 0.00
